600 points, not necessarily unique
P0[6.12323e-17,0,-1,0,0,]
P1[4.9538e-17,3.59915e-17,-1,0.1,0,]
P2[0.25,0.181636,-0.951057,0.1,0.1,]
P3[0.25,0.181636,-0.951057,0.1,0.1,]
P4[0.309017,0,-0.951057,0,0.1,]
P5[6.12323e-17,0,-1,0,0,]
P6[4.9538e-17,3.59915e-17,-1,0.1,0,]
P7[1.89218e-17,5.82354e-17,-1,0.2,0,]
P8[0.0954915,0.293893,-0.951057,0.2,0.1,]
P9[0.0954915,0.293893,-0.951057,0.2,0.1,]
P10[0.25,0.181636,-0.951057,0.1,0.1,]
P11[4.9538e-17,3.59915e-17,-1,0.1,0,]
P12[1.89218e-17,5.82354e-17,-1,0.2,0,]
P13[-1.89218e-17,5.82354e-17,-1,0.3,0,]
P14[-0.0954915,0.293893,-0.951057,0.3,0.1,]
P15[-0.0954915,0.293893,-0.951057,0.3,0.1,]
P16[0.0954915,0.293893,-0.951057,0.2,0.1,]
P17[1.89218e-17,5.82354e-17,-1,0.2,0,]
P18[-1.89218e-17,5.82354e-17,-1,0.3,0,]
P19[-4.9538e-17,3.59915e-17,-1,0.4,0,]
P20[-0.25,0.181636,-0.951057,0.4,0.1,]
P21[-0.25,0.181636,-0.951057,0.4,0.1,]
P22[-0.0954915,0.293893,-0.951057,0.3,0.1,]
P23[-1.89218e-17,5.82354e-17,-1,0.3,0,]
P24[-4.9538e-17,3.59915e-17,-1,0.4,0,]
P25[-6.12323e-17,7.4988e-33,-1,0.5,0,]
P26[-0.309017,3.78437e-17,-0.951057,0.5,0.1,]
P27[-0.309017,3.78437e-17,-0.951057,0.5,0.1,]
P28[-0.25,0.181636,-0.951057,0.4,0.1,]
P29[-4.9538e-17,3.59915e-17,-1,0.4,0,]
P30[-6.12323e-17,7.4988e-33,-1,0.5,0,]
P31[-4.9538e-17,-3.59915e-17,-1,0.6,0,]
P32[-0.25,-0.181636,-0.951057,0.6,0.1,]
P33[-0.25,-0.181636,-0.951057,0.6,0.1,]
P34[-0.309017,3.78437e-17,-0.951057,0.5,0.1,]
P35[-6.12323e-17,7.4988e-33,-1,0.5,0,]
P36[-4.9538e-17,-3.59915e-17,-1,0.6,0,]
